,name,state,level4,level3,level2,level1,Molecular Weight,logP,Water Solubility,logS,Bioavailability,pKa (strongest acidic),Refractivity,Number of Rings,H Bond Donor Count,Rotatable Bond Count,Polar Surface Area (PSA),pKa (strongest basic),Ghose Filter,Monoisotopic Weight,MDDR-Like Rule,Polarizability,H Bond Acceptor Count,Physiological Charge,Rule of Five
158,Cholecalciferol,solid,M05BB,M05B,M05,M,384.6377,7.13,0.00038,-6.0,1.0,18.38,123.22,3.0,1.0,6.0,20.23,-1.3,0.0,384.33921603,1.0,49.63,1.0,0.0,0.0
159,Menadione,solid,B02BA,B02B,B02,B,172.18,1.89,0.504,-2.5,1.0,,50.54,2.0,0.0,0.0,34.14,-7.2,1.0,172.0524295,0.0,17.64,2.0,0.0,1.0
164,Pravastatin,solid,C10AA,C10A,C10,C,424.5277,1.65,0.242,-3.2,1.0,4.21,113.6,2.0,4.0,11.0,124.29,-2.7,1.0,424.246103506,0.0,46.17,6.0,-1.0,1.0
165,Fluvoxamine,solid,N06AB,N06A,N06,N,318.34,2.8,0.00734,-4.6,1.0,,79.2,1.0,1.0,10.0,56.84,8.86,1.0,318.155512413,0.0,32.44,4.0,1.0,1.0
166,Valsartan,solid,C09DX,C09D,C09,C,435.5188,5.27,0.0234,-4.3,1.0,4.35,134.77,3.0,2.0,10.0,112.07,-0.64,0.0,435.227039819,1.0,47.27,6.0,-2.0,0.0
167,Ramipril,solid,C09BX,C09B,C09,C,416.5106,1.47,0.039,-4.0,1.0,3.75,111.19,3.0,2.0,10.0,95.94,5.2,1.0,416.231122144,1.0,44.79,5.0,-1.0,1.0
168,Masoprocol,solid,L01XX,L01X,L01,L,302.3649,4.76,0.0136,-4.4,1.0,9.21,86.62,2.0,4.0,5.0,80.92,-6.3,1.0,302.151809192,0.0,33.63,4.0,0.0,1.0
169,Flunisolide,solid,R01AD,R01A,R01,R,434.4977,1.56,0.0374,-4.1,1.0,13.73,111.89,5.0,2.0,2.0,93.06,-2.9,1.0,434.210466929,0.0,44.67,6.0,0.0,1.0
170,Baclofen,solid,M03BX,M03B,M03,M,213.661,-0.78,0.712,-2.5,1.0,3.89,54.83,1.0,2.0,4.0,63.32,9.79,0.0,213.05565634,0.0,21.13,3.0,0.0,1.0
171,Amphetamine,liquid,N06BA,N06B,N06,N,135.2062,1.8,1.74,-1.9,1.0,,43.71,1.0,1.0,2.0,26.02,10.01,0.0,135.104799421,0.0,16.17,1.0,1.0,1.0
172,Pentagastrin,solid,V04CG,V04C,V04,V,767.9,1.05,0.00261,-5.5,0.0,4.0,200.04,3.0,8.0,22.0,250.91,,0.0,767.33124736,1.0,78.01,8.0,-1.0,0.0
173,Nicotine,liquid,N07BA,N07B,N07,N,162.2316,1.16,93.3,-0.24,1.0,,49.66,2.0,0.0,1.0,16.13,8.58,1.0,162.115698458,0.0,18.59,2.0,1.0,1.0
174,Cevimeline,solid,N07AX,N07A,N07,N,199.313,1.0,2.41,-1.9,1.0,,55.92,3.0,0.0,0.0,12.47,8.59,1.0,199.103084861,0.0,21.88,2.0,1.0,1.0
175,Lorazepam,solid,N05BA,N05B,N05,N,321.158,3.53,0.0176,-4.3,1.0,10.61,82.7,3.0,2.0,1.0,61.69,-2.2,1.0,320.011932988,0.0,30.33,3.0,0.0,1.0
176,Esmolol,solid,C07AB,C07A,C07,C,295.374,1.82,0.144,-3.3,1.0,14.09,81.05,1.0,2.0,10.0,67.79,9.67,1.0,295.178358293,0.0,33.68,4.0,1.0,1.0
177,Bortezomib,solid,L01XG,L01X,L01,L,384.237,1.53,0.0532,-3.9,1.0,8.64,99.37,2.0,4.0,9.0,124.44,-0.59,1.0,384.196885774,0.0,40.65,6.0,0.0,1.0
178,Ethchlorvynol,liquid,N05CM,N05C,N05,N,144.6,1.62,0.143,-3.0,1.0,12.88,38.64,0.0,1.0,2.0,20.23,-3.7,0.0,144.0341926,0.0,14.77,1.0,0.0,1.0
180,Phentermine,solid,A08AA,A08A,A08,A,149.2328,2.08,0.757,-2.3,1.0,,48.34,1.0,1.0,2.0,26.02,10.25,0.0,149.120449485,0.0,17.87,1.0,1.0,1.0
182,Tramadol,solid,N02AJ,N02A,N02,N,263.381,2.45,0.75,-2.6,1.0,13.8,78.27,2.0,1.0,4.0,32.7,9.23,1.0,263.188529049,0.0,30.51,3.0,1.0,1.0
183,Vidarabine,solid,J05AB,J05A,J05,J,267.2413,-2.1,14.0,-1.3,1.0,12.45,63.2,3.0,4.0,2.0,139.54,3.94,0.0,267.096753929,0.0,25.2,8.0,0.0,1.0
184,Betaxolol,solid,S01ED,S01E,S01,S,307.4278,2.54,0.0298,-4.0,1.0,14.09,88.64,2.0,2.0,11.0,50.72,9.67,1.0,307.214743799,0.0,37.05,4.0,1.0,1.0
185,Fluconazole,solid,J01RA,J01R,J01,J,306.2708,0.56,1.39,-2.3,1.0,12.68,97.2,3.0,1.0,5.0,81.65,2.3,1.0,306.104065446,0.0,26.52,5.0,0.0,1.0
186,Troglitazone,solid,A10BG,A10B,A10,A,441.54,5.5,0.00121,-5.6,1.0,6.61,120.99,4.0,2.0,5.0,84.86,-4.6,1.0,441.160993669,0.0,47.27,5.0,-1.0,0.0
187,Oseltamivir,solid,J05AH,J05A,J05,J,312.4045,1.16,0.686,-2.7,1.0,14.03,84.2,1.0,2.0,8.0,90.65,9.31,1.0,312.204907394,0.0,34.64,4.0,1.0,1.0
188,Erythromycin,solid,J01FA,J01F,J01,J,733.9268,2.6,0.459,-3.2,0.0,12.45,186.04,3.0,5.0,7.0,193.91,9.0,0.0,733.461241235,1.0,78.51,13.0,1.0,0.0
190,Caffeine,solid,D11AX,D11A,D11,D,194.1906,-0.55,11.0,-1.2,1.0,,49.83,2.0,0.0,0.0,58.44,-1.2,0.0,194.080375584,0.0,18.95,3.0,0.0,1.0
191,Succinylcholine,solid,M03AB,M03A,M03,M,290.399,-8.4,0.000757,-5.7,1.0,,100.94,0.0,0.0,11.0,52.6,-6.8,0.0,290.220557458,0.0,33.15,2.0,2.0,1.0
192,Sildenafil,solid,G01AE,G01A,G01,G,474.576,1.87,0.46,-3.0,1.0,11.14,139.44,4.0,1.0,6.0,109.13,5.99,0.0,474.204924168,1.0,51.18,8.0,0.0,1.0
193,Dofetilide,solid,C01BD,C01B,C01,C,441.565,0.24,0.0198,-4.4,1.0,10.15,113.27,2.0,2.0,9.0,104.81,8.99,1.0,441.139212369,0.0,46.03,6.0,1.0,1.0
194,Pyrimethamine,solid,P01BF,P01B,P01,P,248.711,2.75,0.179,-3.1,1.0,17.22,71.54,2.0,2.0,2.0,77.82,7.77,1.0,248.082874143,0.0,25.79,4.0,1.0,1.0
195,Reserpine,solid,C02LA,C02L,C02,C,608.6787,3.53,0.0113,-4.7,1.0,16.29,161.42,6.0,1.0,10.0,117.78,7.39,0.0,608.273380888,1.0,66.06,8.0,1.0,0.0
196,Azithromycin,solid,J01RA,J01R,J01,J,748.9845,2.44,0.514,-3.2,0.0,12.43,194.11,3.0,5.0,7.0,180.08,9.57,0.0,748.508525778,1.0,82.93,13.0,2.0,0.0
197,Ticlopidine,solid,B01AC,B01A,B01,B,263.786,4.2,0.0219,-4.1,1.0,,74.33,3.0,0.0,2.0,3.24,6.94,1.0,263.05354785,0.0,27.99,1.0,0.0,1.0
198,Trospium,solid,A03DA,A03D,A03,A,392.518,-0.5,6.68e-05,-6.8,1.0,11.05,124.04,5.0,1.0,5.0,46.53,-4.5,0.0,392.22202025,0.0,43.25,2.0,1.0,1.0
199,Adapalene,solid,D10AD,D10A,D10,D,412.5201,6.46,4.01e-06,-8.0,1.0,3.99,122.07,6.0,1.0,4.0,46.53,-4.8,0.0,412.203844762,0.0,47.64,3.0,-1.0,0.0
200,Midodrine,solid,C01CA,C01C,C01,C,254.2823,-0.95,4.45,-1.8,1.0,13.77,66.22,1.0,3.0,6.0,93.81,8.14,0.0,254.126657074,0.0,26.65,5.0,1.0,1.0
201,Remikiren,solid,C09XA,C09X,C09,C,630.838,2.37,0.0213,-4.5,0.0,12.32,169.6,4.0,5.0,16.0,161.48,6.74,0.0,630.345106042,1.0,68.38,7.0,1.0,0.0
202,Pantoprazole,solid,A02BD,A02B,A02,A,383.37,2.18,0.495,-2.9,1.0,9.15,90.05,3.0,1.0,7.0,86.33,3.55,1.0,383.075133083,1.0,35.17,6.0,0.0,1.0
203,Torasemide,solid,C03CA,C03C,C03,C,348.42,1.86,0.0596,-3.8,1.0,5.92,91.89,2.0,3.0,4.0,100.19,4.2,1.0,348.125611216,0.0,36.15,5.0,-1.0,1.0
204,Citalopram,solid,N06AB,N06A,N06,N,324.3919,3.76,0.00588,-4.7,1.0,,94.02,3.0,0.0,5.0,36.26,9.78,1.0,324.163791509,0.0,35.3,3.0,1.0,1.0
205,Eletriptan,solid,N02CC,N02C,N02,N,382.519,3.77,0.00118,-5.5,1.0,16.56,110.94,4.0,1.0,6.0,53.17,8.37,1.0,382.171498776,1.0,42.99,3.0,1.0,1.0
206,Bethanidine,solid,C02CC,C02C,C02,C,177.2462,1.27,1.58,-2.0,1.0,,54.5,1.0,2.0,2.0,36.42,12.41,1.0,177.126597495,0.0,20.43,3.0,1.0,1.0
207,Moxifloxacin,solid,S01AE,S01A,S01,S,401.4314,-0.51,0.168,-3.4,1.0,5.49,106.22,5.0,2.0,4.0,82.11,9.51,0.0,401.175084476,0.0,41.24,7.0,0.0,1.0
208,Oxyphenonium,solid,A03AB,A03A,A03,A,348.4996,-0.2,0.000136,-6.4,1.0,11.53,112.61,2.0,1.0,9.0,46.53,-4.3,1.0,348.253868959,0.0,40.63,2.0,1.0,1.0
209,Nelfinavir,solid,J05AE,J05A,J05,J,567.782,4.72,0.00191,-5.5,1.0,9.32,162.67,4.0,4.0,10.0,101.9,8.18,0.0,567.313077633,1.0,63.81,5.0,1.0,0.0
211,Glimepiride,solid,A10BD,A10B,A10,A,490.62,3.12,0.0384,-4.1,1.0,4.32,129.8,3.0,3.0,6.0,124.68,-3.7,0.0,490.224991385,1.0,53.49,5.0,-1.0,1.0
212,Diflorasone,solid,D07AC,D07A,D07,D,410.4515,1.34,0.0853,-3.7,1.0,12.42,102.32,4.0,3.0,2.0,94.83,-3.3,1.0,410.190480416,0.0,40.92,5.0,0.0,1.0
213,Indinavir,solid,J05AE,J05A,J05,J,613.7895,2.81,0.0482,-4.1,0.0,13.01,175.89,5.0,4.0,12.0,118.03,6.76,0.0,613.362805017,1.0,68.94,7.0,0.0,0.0
214,Gadodiamide,solid,V08CA,V08C,V08,V,573.66,-8.7,5.21,-2.1,0.0,1.02,132.4,0.0,2.0,16.0,188.31,8.34,0.0,574.10225,0.0,40.47,11.0,-2.0,0.0
216,Lovastatin,solid,C10AA,C10A,C10,C,404.5396,3.9,0.0243,-4.2,1.0,14.91,113.18,3.0,1.0,7.0,72.83,-2.8,1.0,404.256274262,1.0,46.06,3.0,0.0,1.0
217,Enflurane,liquid,N01AB,N01A,N01,N,184.492,2.8,3.9,-1.7,1.0,,23.07,0.0,0.0,3.0,9.23,-5.0,0.0,183.971433418,0.0,9.74,1.0,0.0,1.0
218,Cefotiam,solid,J01DC,J01D,J01,J,525.628,-3.1,1.29,-2.6,1.0,2.6,142.34,4.0,3.0,10.0,172.46,8.34,0.0,525.103512339,1.0,49.87,10.0,0.0,0.0
219,Pregabalin,solid,N03AX,N03A,N03,N,159.2261,-1.3,11.3,-1.2,1.0,4.8,43.68,0.0,2.0,5.0,63.32,10.23,0.0,159.125928793,0.0,18.08,3.0,0.0,1.0
220,Temazepam,solid,N05CD,N05C,N05,N,300.74,2.79,0.0534,-3.8,1.0,10.68,81.01,3.0,1.0,1.0,52.9,-1.4,1.0,300.066555377,0.0,30.32,3.0,0.0,1.0
221,Methyclothiazide,solid,C03AA,C03A,C03,C,360.237,0.53,0.824,-2.6,1.0,9.29,77.28,2.0,2.0,2.0,109.57,-3.4,1.0,358.956802649,0.0,31.65,5.0,0.0,1.0
222,Aminosalicylic acid,solid,J04AA,J04A,J04,J,153.1354,0.83,11.8,-1.1,1.0,3.68,40.0,1.0,3.0,1.0,83.55,2.19,0.0,153.042593095,0.0,14.29,4.0,-1.0,1.0
223,Reboxetine,solid,N06AX,N06A,N06,N,313.397,3.28,0.0223,-4.2,1.0,,89.48,3.0,1.0,6.0,39.72,7.91,1.0,313.167793605,1.0,34.49,4.0,1.0,1.0
224,Milrinone,solid,C01CE,C01C,C01,C,211.2194,0.33,0.209,-3.0,1.0,7.54,61.14,2.0,1.0,1.0,65.78,4.82,1.0,211.074561925,0.0,21.45,3.0,0.0,1.0
225,Pipobroman,solid,L01AX,L01A,L01,L,356.054,0.41,2.24,-2.2,1.0,,69.45,1.0,0.0,4.0,40.62,-1.3,1.0,353.95785306,0.0,28.44,2.0,0.0,1.0
226,Butabarbital,solid,N05CB,N05C,N05,N,212.2456,1.45,1.39,-2.2,1.0,7.48,53.4,1.0,2.0,3.0,75.27,,1.0,212.116092388,0.0,21.41,3.0,0.0,1.0
227,Nevirapine,solid,J05AG,J05A,J05,J,266.2979,2.49,0.105,-3.4,1.0,14.98,77.48,4.0,1.0,1.0,58.12,3.28,1.0,266.11676109,0.0,27.8,4.0,0.0,1.0
228,Oxiconazole,solid,D01AC,D01A,D01,D,429.12,5.84,0.00191,-5.4,1.0,,105.95,3.0,0.0,6.0,39.41,6.74,0.0,426.9812729,1.0,40.79,3.0,1.0,0.0
229,Alclometasone,solid,D07AB,D07A,D07,D,408.916,1.68,0.137,-3.5,1.0,12.45,107.61,4.0,3.0,2.0,94.83,-2.9,1.0,408.170351745,0.0,42.88,5.0,0.0,1.0
230,Butalbital,solid,N05CB,N05C,N05,N,224.2563,1.59,2.23,-2.0,1.0,7.48,58.05,1.0,2.0,4.0,75.27,,1.0,224.116092388,0.0,22.43,3.0,0.0,1.0
231,Cladribine,solid,L04AA,L04A,L04,L,285.687,-0.28,6.35,-1.6,1.0,13.89,67.18,3.0,3.0,2.0,119.31,2.22,1.0,285.062866982,0.0,26.85,7.0,0.0,1.0
232,Ranolazine,solid,C01EB,C01E,C01,C,427.5365,2.83,0.11,-3.6,1.0,13.6,123.46,3.0,2.0,9.0,74.27,6.77,1.0,427.247106559,1.0,47.22,6.0,0.0,1.0
233,Mesalazine,solid,A07EC,A07E,A07,A,153.1354,-0.29,12.2,-1.1,1.0,2.02,40.0,1.0,3.0,1.0,83.55,5.87,0.0,153.042593095,0.0,14.26,4.0,-1.0,1.0
234,Benzatropine,solid,N04AC,N04A,N04,N,307.4293,4.19,0.00121,-5.4,1.0,,94.24,4.0,0.0,4.0,12.47,9.54,1.0,307.193614427,0.0,35.42,2.0,1.0,1.0
235,Ziprasidone,solid,N05AE,N05A,N05,N,412.936,4.3,0.00718,-4.8,1.0,12.21,116.72,5.0,1.0,4.0,48.47,7.09,1.0,412.112459711,0.0,44.96,4.0,0.0,1.0
236,Methysergide,solid,N02CA,N02C,N02,N,353.458,1.82,0.224,-3.2,1.0,15.0,104.47,4.0,2.0,4.0,57.5,7.83,1.0,353.210327123,0.0,40.41,3.0,1.0,1.0
237,Cabergoline,solid,N04BC,N04B,N04,N,451.6043,2.58,0.064,-3.8,1.0,15.25,133.5,4.0,2.0,8.0,71.68,9.32,0.0,451.294725453,1.0,52.5,4.0,2.0,1.0
238,Idoxuridine,solid,D06BB,D06B,D06,D,354.0985,-0.53,23.4,-1.2,1.0,8.46,64.4,2.0,3.0,2.0,99.1,-3.0,0.0,353.971264892,0.0,26.17,5.0,0.0,1.0
239,Dapsone,solid,D10AX,D10A,D10,D,248.301,1.27,0.284,-2.9,1.0,,68.99,2.0,2.0,2.0,86.18,2.39,1.0,248.061948328,0.0,25.05,4.0,0.0,1.0
240,Terconazole,solid,G01AG,G01A,G01,G,532.47,5.37,0.0116,-4.7,0.0,,153.19,5.0,0.0,8.0,64.88,8.41,0.0,531.1803953,1.0,56.59,7.0,1.0,0.0
241,Phenytoin,solid,N03AB,N03A,N03,N,252.268,2.15,0.0711,-3.6,1.0,8.49,70.18,3.0,2.0,2.0,58.2,-9.0,1.0,252.089877638,0.0,25.48,2.0,0.0,1.0
242,Medrysone,solid,S01BA,S01B,S01,S,344.4877,3.13,0.0337,-4.0,1.0,18.37,98.85,4.0,1.0,1.0,54.37,-0.26,1.0,344.23514489,0.0,39.94,3.0,0.0,1.0
243,Doxycycline,solid,J01AA,J01A,J01,J,444.4346,-3.3,0.63,-2.8,1.0,3.27,113.89,4.0,6.0,2.0,181.62,8.33,0.0,444.153265754,0.0,43.65,9.0,0.0,0.0
244,Diethylstilbestrol,solid,L02AA,L02A,L02,L,268.356,5.19,0.0109,-4.4,1.0,8.63,83.24,2.0,2.0,4.0,40.46,-6.5,1.0,268.146329884,0.0,30.69,2.0,0.0,0.0
245,Lymecycline,solid,J01AA,J01A,J01,J,602.6328,-7.1,1.31,-2.7,0.0,2.51,154.51,4.0,9.0,10.0,242.98,9.77,0.0,602.258793456,1.0,62.48,13.0,1.0,0.0
246,Clotrimazole,solid,D01AC,D01A,D01,D,344.837,5.84,0.00147,-5.4,1.0,,103.76,4.0,0.0,4.0,17.82,6.26,0.0,344.108026261,0.0,36.25,1.0,0.0,0.0
247,Calcium acetate,solid,V03AE,V03A,V03,V,158.166,-0.22,147.0,-0.03,1.0,4.54,23.48,0.0,0.0,0.0,40.13,,0.0,157.989199835,0.0,4.96,2.0,-1.0,1.0
248,Sulfanilamide,solid,G01AE,G01A,G01,G,172.205,-0.25,10.4,-1.2,1.0,10.99,42.92,1.0,2.0,1.0,86.18,2.27,0.0,172.0306482,0.0,16.25,3.0,0.0,1.0
249,Cycloserine,solid,J04AB,J04A,J04,J,102.0919,-2.4,877.0,0.93,1.0,4.21,21.85,1.0,2.0,0.0,64.35,8.36,0.0,102.042927446,0.0,8.87,3.0,0.0,1.0
250,Anagrelide,solid,L01XX,L01X,L01,L,256.088,1.94,0.279,-3.0,1.0,11.25,63.25,3.0,1.0,0.0,44.7,3.62,1.0,254.996617275,0.0,23.61,3.0,0.0,1.0
251,Carmustine,solid,L01AD,L01A,L01,L,214.05,1.02,1.53,-2.2,1.0,13.36,46.98,0.0,1.0,5.0,61.77,-5.3,1.0,213.007181961,0.0,18.8,2.0,0.0,1.0
252,Sulfisoxazole,solid,J01EB,J01E,J01,J,267.304,0.73,0.313,-2.9,1.0,5.8,67.92,2.0,2.0,2.0,98.22,2.17,1.0,267.067761987,0.0,26.93,4.0,-1.0,1.0
253,Metoprolol,solid,C07FB,C07F,C07,C,267.3639,1.76,0.402,-2.8,1.0,14.09,76.7,1.0,2.0,9.0,50.72,9.67,1.0,267.183443671,0.0,31.9,4.0,1.0,1.0
255,Dicoumarol,solid,B01AA,B01A,B01,B,336.295,1.94,0.0662,-3.7,1.0,4.66,89.19,4.0,2.0,2.0,93.06,-6.8,1.0,336.063388116,0.0,32.32,4.0,-2.0,1.0
256,Cefmenoxime,solid,J01DD,J01D,J01,J,511.558,-0.93,0.446,-3.1,0.0,2.62,133.51,4.0,3.0,8.0,190.81,3.53,0.0,511.051476769,1.0,47.05,11.0,-1.0,0.0
257,Ropinirole,solid,N04BC,N04B,N04,N,260.3746,3.06,0.353,-2.9,1.0,12.27,81.43,2.0,1.0,7.0,32.34,10.17,1.0,260.1888634,0.0,31.19,2.0,1.0,1.0
258,Chlorotrianisene,solid,G03CA,G03C,G03,G,380.864,5.43,0.000199,-6.3,1.0,,119.17,3.0,0.0,6.0,27.69,-4.4,1.0,380.117922245,1.0,40.68,3.0,0.0,0.0
259,Isradipine,solid,C08CA,C08C,C08,C,371.3871,2.0,0.228,-3.2,1.0,16.95,100.08,3.0,1.0,6.0,103.55,-3.3,1.0,371.148120797,1.0,37.34,5.0,0.0,1.0
260,Diatrizoate,solid,V08AA,V08A,V08,V,613.9136,2.89,0.107,-3.8,1.0,2.17,103.13,1.0,3.0,3.0,95.5,-4.2,0.0,613.769637046,0.0,38.43,4.0,-1.0,0.0
261,Betazole,liquid,V04CG,V04C,V04,V,111.1451,-0.62,156.0,0.15,1.0,14.52,32.96,1.0,2.0,2.0,54.7,9.79,0.0,111.079647303,0.0,11.96,2.0,1.0,1.0
262,Topiramate,solid,N03AX,N03A,N03,N,339.362,0.13,6.8,-1.7,1.0,11.09,72.3,3.0,1.0,3.0,115.54,-3.7,1.0,339.098787343,0.0,32.4,8.0,0.0,1.0
263,Cefmetazole,solid,J01DC,J01D,J01,J,471.534,-0.65,2.16,-2.3,1.0,3.18,124.57,3.0,2.0,9.0,163.33,-1.7,0.0,471.045328759,1.0,44.5,9.0,-1.0,1.0
